Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Status
dev-mode-shirt-01,Dev Mode – Classic Tee (Code Grid),<p>Unisex soft tee with subtle code-grid motif. Perfect daily driver.</p>,Devmode,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"devmode, code, tee, unisex, minimalist",TRUE,Size,M,DEV-TEE-01-M,200,shopify,25,deny,manual,21.95,,TRUE,TRUE,,,,
dev-mode-shirt-02,Dev Mode – Dark Ops Tee,<p>Matte black tee with low-key 'Dev Mode' chest print.</p>,Devmode,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"devmode, black, stealth, tee",TRUE,Size,M,DEV-TEE-02-M,200,shopify,25,deny,manual,21.95,,TRUE,TRUE,,,,
dev-mode-shirt-03,Dev Mode – Terminal Green Tee,<p>Retro-terminal green accent lines for the nostalgic coder.</p>,Devmode,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"retro, terminal, devmode, tee",TRUE,Size,M,DEV-TEE-03-M,200,shopify,25,deny,manual,21.95,,TRUE,TRUE,,,,
dev-mode-shirt-04,Dev Mode – Home Office Tee,<p>Clean type stack inspired by modern home office setups.</p>,Devmode,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"home office, minimalist, tee",TRUE,Size,M,DEV-TEE-04-M,200,shopify,25,deny,manual,21.95,,TRUE,TRUE,,,,
dev-mode-shirt-05,Dev Mode – Tech Office Tee,<p>Sharp sans-serif 'DEV MODE' with subtle gridlines.</p>,Devmode,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"tech office, grid, tee",TRUE,Size,M,DEV-TEE-05-M,200,shopify,25,deny,manual,21.95,,TRUE,TRUE,,,,
dev-mode-shirt-06,Dev Mode – Bold Contrast Tee,<p>High-contrast news-cut style headline across the chest.</p>,Devmode,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"bold contrast, headline, tee",TRUE,Size,M,DEV-TEE-06-M,200,shopify,25,deny,manual,21.95,,TRUE,TRUE,,,,
dev-mode-shirt-07,Dev Mode – Bracket Logo Tee,<p>Angular <DEV MODE/> logotype with bracket motif.</p>,Devmode,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"brackets, logo, tee",TRUE,Size,M,DEV-TEE-07-M,200,shopify,25,deny,manual,21.95,,TRUE,TRUE,,,,
dev-mode-shirt-08,Dev Mode – Minimal Monogram Tee,"<p>DM monogram chest hit, clean and modern.</p>",Devmode,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"monogram, minimal, tee",TRUE,Size,M,DEV-TEE-08-M,200,shopify,25,deny,manual,21.95,,TRUE,TRUE,,,,
dev-mode-shirt-09,Dev Mode – Gridline Tee,<p>Fine gridlines with tiny 'devmode' tag at hem.</p>,Devmode,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"grid, subtle, tee",TRUE,Size,M,DEV-TEE-09-M,200,shopify,25,deny,manual,21.95,,TRUE,TRUE,,,,
dev-mode-shirt-10,Dev Mode – Code Coffee Tee,<p>'Code. Coffee. Repeat.' stacked in tidy columns.</p>,Devmode,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"coffee, code, tee",TRUE,Size,M,DEV-TEE-10-M,200,shopify,25,deny,manual,21.95,,TRUE,TRUE,,,,
