Product Title,Description,Tags,SKU,Variant,Retail Price,Mockup Type,Image URL,Printful Sync Variant ID,Notes
Dev Mode – Classic Tee (Code Grid),Unisex soft tee with subtle code-grid motif. Perfect daily driver. Printed on demand via Printful.,"devmode, code, tee, unisex, minimalist",DEV-TEE-01-M,M,21.95,Lifestyle,,,Replace Image URL with your hosted mockup; update sizes/colors as needed.
Dev Mode – Dark Ops Tee,Matte black tee with low-key 'Dev Mode' chest print. Printed on demand via Printful.,"devmode, black, stealth, tee",DEV-TEE-02-M,M,21.95,Lifestyle,,,Replace Image URL with your hosted mockup; update sizes/colors as needed.
Dev Mode – Terminal Green Tee,Retro-terminal green accent lines for the nostalgic coder. Printed on demand via Printful.,"retro, terminal, devmode, tee",DEV-TEE-03-M,M,21.95,Lifestyle,,,Replace Image URL with your hosted mockup; update sizes/colors as needed.
Dev Mode – Home Office Tee,Clean type stack inspired by modern home office setups. Printed on demand via Printful.,"home office, minimalist, tee",DEV-TEE-04-M,M,21.95,Lifestyle,,,Replace Image URL with your hosted mockup; update sizes/colors as needed.
Dev Mode – Tech Office Tee,Sharp sans-serif 'DEV MODE' with subtle gridlines. Printed on demand via Printful.,"tech office, grid, tee",DEV-TEE-05-M,M,21.95,Lifestyle,,,Replace Image URL with your hosted mockup; update sizes/colors as needed.
Dev Mode – Bold Contrast Tee,High-contrast news-cut style headline across the chest. Printed on demand via Printful.,"bold contrast, headline, tee",DEV-TEE-06-M,M,21.95,Lifestyle,,,Replace Image URL with your hosted mockup; update sizes/colors as needed.
Dev Mode – Bracket Logo Tee,Angular <DEV MODE/> logotype with bracket motif. Printed on demand via Printful.,"brackets, logo, tee",DEV-TEE-07-M,M,21.95,Lifestyle,,,Replace Image URL with your hosted mockup; update sizes/colors as needed.
Dev Mode – Minimal Monogram Tee,"DM monogram chest hit, clean and modern. Printed on demand via Printful.","monogram, minimal, tee",DEV-TEE-08-M,M,21.95,Lifestyle,,,Replace Image URL with your hosted mockup; update sizes/colors as needed.
Dev Mode – Gridline Tee,Fine gridlines with tiny 'devmode' tag at hem. Printed on demand via Printful.,"grid, subtle, tee",DEV-TEE-09-M,M,21.95,Lifestyle,,,Replace Image URL with your hosted mockup; update sizes/colors as needed.
Dev Mode – Code Coffee Tee,'Code. Coffee. Repeat.' stacked in tidy columns. Printed on demand via Printful.,"coffee, code, tee",DEV-TEE-10-M,M,21.95,Lifestyle,,,Replace Image URL with your hosted mockup; update sizes/colors as needed.
